Time,Time Code,Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]"
2015,YR2015,Mexico,MEX,74.682,3.0851863436743,2.98734307,5.05087995529175,30.8402535936115,19.8234213781094,60.5061359762521,97.6776477066578,99.7152655416406
2015,YR2015,"Micronesia, Fed. Sts.",FSM,71.408,26.2016892166227,3.21473765,13.6470003128052,6.11327565271435,0.418844329629476,61.8534746290482,90.1752509407096,99.9999999976395
2015,YR2015,Moldova,MDA,69.24,12.8212557522034,3.9,5.80568695068359,21.1076657265026,10.01582216678,53.3342064591852,88.9514518015044,100
2015,YR2015,Monaco,MCO,..,..,3.4903245,..,17.5917398696515,..,82.4082601303485,100,..
2015,YR2015,Mongolia,MNG,69.498,14.079203180176,2.4089644,4.38715648651123,31.5158775834209,7.01550583710279,46.1686156086131,78.7245239498298,97.9517847849117
2015,YR2015,Montenegro,MNE,76.4487804878049,8.06118573423757,5.4,..,14.3534622406494,4.08869912042976,60.2777607516407,97.3912959033093,100
2015,YR2015,Morocco,MAR,72.92,11.7961931846113,1.98215687,5.13336896896362,25.6226817262287,14.984152955286,52.2029571874719,80.0538678565424,100
2015,YR2015,Mozambique,MOZ,58.151,23.5663164946958,1.81552148,6.01083421707153,18.6152107018236,8.30864034953938,46.6230720271826,49.0759428639125,100
2015,YR2015,Myanmar,MMR,65.561,26.7717786456091,1.2,2.2456042766571,34.4688212621645,20.8081418827965,38.7594000921303,71.7410019192318,100
2015,YR2015,Namibia,NAM,60.7,6.65042679589334,4.21268463,9.85076808929443,27.5636536225028,11.4171848223968,57.9429326539944,83.1619215172849,100
2015,YR2015,Nauru,NRU,62.269,..,8.4357338,6.25260305404663,..,..,..,97.003356247305,..
2015,YR2015,Nepal,NPL,67.456,26.518508431071,0.91,3.29425358772278,13.1616546305814,5.3560555553661,50.5398969851676,88.275580629965,100
2015,YR2015,Netherlands,NLD,81.509756097561,1.80598562591626,6.82,5.34815979003906,17.4148103121536,10.1488182500805,70.5458576179068,100,99.8116826887052
2015,YR2015,New Caledonia,NCL,77.2804878048781,1.91334103691976,..,..,22.1000359642571,5.86483397920032,68.0800194079304,98.1385584921823,..
2015,YR2015,New Zealand,NZL,81.6124390243903,4.47029526580187,6.93415546,5.70734977722168,21.1560824911804,11.279693966648,65.9420431720028,99.9999992554402,0.349574373935346
2015,YR2015,Nicaragua,NIC,72.983,16.1101157008631,4.46586037,4.07843017578125,25.7348859815879,14.198161095405,48.5739430037359,81.3531277628567,99.9295179907473
2015,YR2015,Niger,NER,61.083,32.4169952714448,1.11163116,4.48669004440308,22.5383286848915,7.62575595401117,38.5305288045027,45.8159264872674,100
2015,YR2015,Nigeria,NGA,51.841,20.6318934800012,0.58907843,0.436954915523529,20.160782897492,9.42843732193195,58.1222219182291,68.1845425049661,100
